id,label,tweet
0,1,Austrian Government Suspends Mandatory Covid-19 Vaccine For All Adults.
1,1,Younger brother has tested positive for Covid in the UK. He is triple vaaxed and isolating. So far he says it is only like the worst cold he has ever had thanks to the vaccine protection
2,1,"Sup,covid! Daydrinking is a essential routine of staying sane in order to not go crazy during covid time, My human once told me a story:  Charlie, who is a  doctor, he  saved people's lives in the pandemic, and he  invented the vaccine"
3,1,"Covid is only out of the limelight. Restrictions are still in place. Mandates to take the vaccine or lose your job and basic privileges are in place. And bills are moving through to make them permanent, especially in Cali are moving through. It’s a diversion. Don’t let it go."
4,1,SECOND COVID VACCINE DONE WOOOOOOO  no gender awakening this time
5,1,Got my 2nd COVID shot at a drive up Thurs. They weren't fussy about my allergies.  Reaction has been similar to last time. I have red/swelling around the injection that is gaining surface area. This is typical of my previous vaccine reactions in the past &amp; not very concerning.
6,1,I'm starting to feel like maybe my covid vaccine innoculated me against some other things as well.
7,1,"5th day in bed with fucking Covid.   Thankful for the vaccine, furious at all the jackass officials who drop mask mandates including my employer @Columbia.   What on earth do you have to loose in keeping the damn masks on for a few more months?"
8,1,is it too late to get the vaccine i really don't want covid
9,1,One year ago today I got my first covid vaccine while working at a vaccine clinic.
10,1,"Stop shaming me for putting the Covid vaccine in my body, I don’t say shit when you put that cocaine in your nose"
11,1,"It was a lost Saturday. Had to spend two days in bed to recuperate from Pfizer #3, the first booster of the COVID vaccine."
12,1,:: why did I have a dream that there was a new Covid vaccine that actually prevents everyone from getting it???
13,1,"I was wondering if the people who refuse to take the COVID-19 vaccine, are also refusing to take prescription medicine?. Prescription medicines come with possible side effects ranging from mild to life threatening. Why take one and not the other?. #COVIDvaccine"
14,1,Day 5 of Covid feel tired and washed out. Vaccine working as still able to function not as bad as flu
15,1,A booster dose is the additional dose of the COVID-19 vaccine taken after the full dose of any brand of the vaccine for further protection against the virus.  #YesToCOVID19Vaccine #COVID19VaccineIsSafe #GoForCOVIDVaccineToday
16,1,"Out of all 3 Covid vaccine shots, my arm has only been sore for the booster 🥴"
17,1,This @toryboypierce is a joke. Who isnt scared of covid ? Clearly 100s millions of people took the covid vaccine because they enjoy vaccinations rather than because they are scared of covid. #lbc what an idiot
18,1,Mr Dix and Dr Henry are saying that they have done all that they could do to minimize risk of acute Covid in BC. Masks. Vaccine. Boosters. Distance. They can't make Covid go away. Covid kills. Education and science save lives. Over to us...
19,1,"Had my fourth vaccine dose at end of December. Had an antibody test on 16 Feb which showed a very strong vaccine response (&gt;2,500 U/mL). Tested positive for COVID this morning 🤷🏼u200d♀️"
20,1,"Now that most places in the U.S. are opening up and loosening their mask &amp; vaccine mandates in public, I’m wondering how long it’ll be before we’ll need a 4th shot to protect us from the next mutated strain of COVID that unvaccinated idiots will almost certainly catch and spread?"
21,1,TBH have been scared to get covid vaccine even after having covid but finally scheduled my appointment to get the vaccine
22,1,just got my second covid vaccine
23,1,"India’s COVID-19 vaccination coverage has crossed 180 Crore (1,80,10,69,235) today.   More than 17 lakh (17,82,501) vaccine doses have been administered till 7 pm today: Union Health Ministry  #ConnectGujarat #BeyondJustNews #CGNews"
24,1,"Incidentally   Day 5 of Covid  Day 3 of 🚽💨🌊💩  Appetite half returned with dizzy spells, holding at 4lb weight loss.   Get the #vaccine"
25,1,Facebook reminded me that a year ago today I got my first Covid vaccine.
26,1,1yr ago today I got my first dose of the Covid vaccine 😳
27,1,"very disheartening that after years of being as careful as i can, getting 3 doses of vaccine, HAVING COVID in the early months of the pandemic, that once all the restrictions on masking are gone i get covid AGAIN  i must have been really awful in a previous life to deserve this"
28,1,I had my first covid vaccine today.
29,1,"#COVID19: #Gujarat in 24 hours vaccinated 10,763 persons for the first dose and 50,480 for the second. In all, 5.21 crore are administered first and 4.95 crore second dose of Covid vaccine #GujaratCoronaUpdate #covidvaccination"
30,1,"There are still ~1500 COVID deaths/day in the US. Total deaths from the 9/11 attack: 2996. And yet, 20 years later, Americans still accept high airport security, intrusive pat-downs, seizure of banned items - while they protest mask and vaccine mandates in an ongoing pandemic. 🤷u200d♀️"
31,1,"Recent release of #Pfizer #COVID-19 #vaccine #documents sparked a flurry of news stories. Many of them referenced data released previously (November 2021) showing Pfizer reported to the U.S. #FDA Food and Drug Administration that the drugmaker was aware of 1,223 reports of deaths"
32,1,When people state that deaths after a covid vaccine are just coincidental are the same people that stated a positive test result was a covid death.
33,1,just went to get my second vaccine and they said i couldn’t get it cos i’ve had covid in the last 12 weeks but i got told i could get it after 28 days 👍🏻👍🏻
34,1,Batman has to get the Covid vaccine.  Just saying
35,1,"With the war crimes that’s going on in Ukraine now in mind, which rightfully demands our attention…I still want to give a heartfelt “thank you so much, from the bottom of my heart” to the scientists who developed the Covid-vaccine. A little bit less to worry about, at least.❤️"
36,1,Why do you think the companies &amp; govt have suddenly dropped covid vaccine mandates?  Hint: Its not because of omicron but Pfizer data.
37,1,3rd dose of the covid vaccine taken! Like a champ! Now I sleep eternally
38,1,"On the 2nd anniversary of #covid, i would like to thank Moderna and Pfizer for producing the vaccine. Where would we be if there was no vaccine? Thanks to all scientists and medical staff around the world #covid #cdnpoli #yeg #abpoli #CovidIsNotOver"
39,1,Today I learned my parents FULLY believe that getting the COVID vaccine/boosters means you’re shedding COVID for two weeks so guess who is waiting to get her Booster until right before she flies home to casually bring it up during family dinner :)
40,1,People need to realize that this Covid vaccine would have never been approved under normal circumstances as it wouldn't have been deemed safe enough. It's only the Emergency Use that got it onto the market.
41,1,"God is great! After my niece was coerced into getting vaxxed during pregnancy, she gave birth to a healthy girl a wk ago   Tbf, every vaxxed person I personally know (more than 40) are all okay, except for 1 who still has side effects  I'm still 💯% against covid vaccine mandates"
42,1,"I am triple vaccinated against covid. I still think mask mandates are better than vaccine “passport” mandates. Aerosol scientists say masks are very effective at preventing the spread. I hate masks. But I also can’t afford to get covid. Who can, really?!"
43,1,.@OlafScholz today marks two years since the @WHO declared #Covid a global pandemic. We could have been celebrating the end of the #global #pandemic. But Big pharmaceutical corporations still haven’t shared vaccine patents. @Bundeskanzlerz change that and #EndCOVIDMonopolies!
44,1,"I'm 58, fat, have had all 3 Covid jabs, got it a week ago, and have survived. Last month a guy I knew, a fair bit younger and fitter than me, a vaccine refusenik who'd bought into all the conspiracy theories, got Covid and died. I rely on science and the law of averages."
45,1,I have a question.   Was it wrong to call CoVID shots a “Vaccine”..   It‘s not a vaccine as most reasonable people would interpret that word.   (yes I’ve had my 3 shots)
46,1,"India’s COVID-19 vaccination coverage has crossed 180 Crore (1,80,10,69,235) today. More than 17 lakh (17,82,501) vaccine doses have been administered till 7 pm today: Union Health Ministry"
47,1,Neither one of the people that got covid with me can go back to work yet. They weren’t boosted (second vaccine March 2021). I am boosted. I am beyond ready to be back. Get vaccinated. Get your booster.
48,1,"That's more people coming down with covid round here , they have all had vaccine jags, so they don't seem to be as bad, still ill but not dying so that's a good sign, more time and we can hopefully find even better treatment."
49,1,I am SO happy that my 8-year-old was finally offered a covid vaccine this week - and also in awe of just how hard everyone at the vaccine centre worked to make it a good experience for the kids. Stickers! Ginger biscuits! Where's Wally colouring sheets! Nurses dressed as Olaf! 💕
50,1,"My parents had covid over the past few days but luckily everyone is fine. My Mom had barely any symptoms so I wasn't concerned, but my Dad had it realy bad for like 2 days but he's fine now. It's scary what could have happened if it was pre vaccine especially since he's high risk"
51,1,"I swear, some people on the right don't want the vaccine to be effective so they can say ""I told you so"" and some people on the left don't want it to be effective because they seem to hate the thought of any good news in regard to covid. Fuck yous both. The vaccine works."
